Start_Code,Last_Name,First_Name,Race_No,Club_Name,Cat_Code,YOB,Race_Time,Status,Event_Rank,Cat_Rank
HC10,Sidney,Owen,1604,Powerhouse Pedallers,C7,1959,00:00:00,DNS,0,0
HC09,Wiles,Denise,1605,Cyclemeisters,C6,1996,01:26:59,FIN,169,92
HC09,Young,Carthy,1606,Team Velopower,C8,1962,01:26:00,FIN,144,43
HC10,Maddox,Stefan,1607,Dirt Busters,C5,1999,01:22:12,FIN,45,24
HC03,Hastings,Stacy,1609,Synergy Racing,C6,1998,01:33:53,FIN,282,169
HC08,Mcgill,Kyla,1611,Flying Cyclops,C8,1973,01:25:30,FIN,129,39
HC02,Phillips,Joseph,1612,Dirt Busters,C5,1997,01:35:17,FIN,301,186
HC01,Kipling,James,1614,Kernow Pedallers,C5,1998,01:30:24,FIN,226,126
HC04,Pollard,Priscilla,1616,Independent,C6,1990,01:30:57,FIN,231,129
HC00,Piller,Idris,1617,Mountain Kings,C5,1992,01:36:10,FIN,312,194
HC01,Spencer,Harley,1618,Mandras Flyers,C11,1943,01:24:20,FIN,99,1
HC03,Hagedorn,Arabella,1620,Mountain Kings,C6,1992,01:32:56,FIN,265,156
HC05,Bonham,Shawna,1622,Powerhouse Pedallers,C6,1982,01:40:33,FIN,351,224
HC03,Yarrow,Maxwell,1624,Independent,C5,1974,01:32:26,DNF,0,0
HC04,Schiefler,Liam,1625,Velocity Cycling,C5,1999,01:41:27,FIN,360,230
HC03,Graham,Jackson,1628,Power Bike Rangers,C7,1961,01:29:05,FIN,199,59
HC09,Gilmour,Thomas,1629,Synergy Racing,C5,1992,01:27:17,FIN,174,97
HC09,Platten,Micah,1630,Velocity Cycling,C7,1973,01:22:51,FIN,57,21
HC10,Gatlin,Gregory,1632,Mandras Flyers,C7,1955,01:24:40,DNF,0,0
HC07,Crutchlow,Holly,1634,Redbike Rollers,C10,1950,00:59:45,DNF,0,0
HC07,Lofthouse,Aryeh,1635,Independent,C5,1977,01:19:32,FIN,4,2
HC09,Hathaway,Yosef,1636,Tawara Bike Buddies,C5,1992,01:51:13,FIN,383,249
HC04,Cairns,Jared,1637,Redbike Rollers,C7,1972,01:35:13,DNF,0,0
HC01,Gibbons,Madeleine,1638,Velocity Cycling,C10,1951,00:00:00,DNS,0,0
HC05,Summers,Desmond,1640,Trail Blazers,C5,1999,01:22:46,FIN,55,29
HC03,Kaiser,Steven,1644,Hardcore Cycling ,C7,1968,01:35:07,FIN,297,65
HC10,Coulthard,Lori,1646,Mud and Gears,C6,1989,01:24:08,FIN,91,55
HC08,Manner,Archibald,1647,Velocity Cycling,C5,1997,01:35:09,FIN,298,183
HC02,Frankland,Peter,1653,Cyclemeisters,C5,1983,01:23:32,FIN,75,43
HC01,Watson,Hunter,1655,Team Superpowered Rollers,C7,1973,01:25:50,FIN,138,41
HC03,Knowles,Emile,1656,Dirt Busters,C5,1995,01:25:46,FIN,136,78
HC10,Seymour,Muhammad,1657,Tawara Bike Buddies,C7,1969,01:26:51,FIN,164,52
HC10,Symonds,Sylvain,1659,Independent,C5,1993,01:34:35,FIN,293,179
HC04,Gibson,Andrea,1660,Cyclemeisters,C6,1992,02:04:48,FIN,390,256
HC05,Haywood,Drew,1662,Trail Blazers,C5,1996,01:35:10,FIN,299,184
HC10,Jackson,Shannon,1663,Independent,C6,1993,01:32:10,FIN,250,146
HC04,Robson,Haden,1664,Flying Cyclops,C5,1991,01:33:22,FIN,275,164
HC02,Sutton,Albert,1665,Team Superpowered Rollers,C7,1972,01:29:30,FIN,206,60
HC04,Dixon,Dale,1667,Power Cycles,C7,1972,01:34:23,DNF,0,0
HC05,Walsh,Ramone,1668,Velocity Cycling,C5,1979,01:36:04,FIN,310,192
HC08,Cody,Liza,1670,Redbike Rollers,C6,1999,01:34:10,FIN,286,173
HC01,Webb,Solomon,1672,Independent,C7,1970,01:24:25,FIN,101,30
HC08,Malacko,Travis,1673,Synergy Racing,C5,1995,01:29:11,FIN,201,109
HC09,Kendell,Jeremiah,1675,Mud and Gears,C5,1995,01:38:51,FIN,338,213
HC03,Sedgwick,Suzi,1676,Tawara Bike Buddies,C6,1978,01:32:09,FIN,249,145
HC00,Brown,Marina,1678,Flying Cyclops,C6,1978,01:33:42,FIN,280,167
HC04,Freemantle,Jonathon Scott,1679,Team Superpowered Rollers,C9,1951,01:23:23,FIN,70,4
HC05,Kohlenberg,Dan,1682,Kernow Pedallers,C7,1970,01:18:37,DNF,0,0
HC08,Romano,Dominic,1683,Independent,C5,1994,01:29:48,FIN,214,115
HC03,Armstrong,Sheldon,1688,Dirt Busters,C5,1998,01:31:40,FIN,243,140
HC06,Chamberlain,Michelle,1689,Kernow Pedallers,C6,1993,01:29:40,FIN,210,113
HC05,Blixhavn,Judy,1693,Velocity Cycling,C6,1981,01:25:57,FIN,142,82
HC00,Watson,Oscar,1694,Velocity Cycling,C5,1977,01:19:26,FIN,1,1
HC06,Welch,Kareem,1695,Trail Blazers,C5,1975,01:36:57,FIN,324,203
HC05,Antoniou,Rory,1697,Trail Blazers,C7,1956,01:22:28,FIN,49,18
HC04,Lamb,Geoffrey,1698,Independent,C5,1984,01:33:21,FIN,274,163
HC00,Loveday,Barry,1700,Cyclemeisters,C5,1994,01:40:14,FIN,349,222
HC04,Stevens,Gareth,1701,Redbike Rollers,C5,1974,01:22:30,FIN,50,27
HC06,Janssen,Ajax,1702,Team Pedal Power,C5,1995,01:32:51,FIN,264,155
HC06,Brackston,Laura,1703,Mandras Flyers,C6,1983,01:25:15,FIN,123,69
HC07,Wigelsworth,Kendrick,1704,Mud and Gears,C5,1994,01:37:27,FIN,332,208
HC06,Geisel,Tanya,1705,Mountain Kings,C6,1998,01:33:07,FIN,268,158
HC00,Wrigglesford,Leonard,1708,Mandras Flyers,C5,1997,01:25:40,FIN,133,75
HC06,Muir,Bertrand,1710,Tawara Bike Buddies,C9,1947,01:22:40,FIN,53,2
HC08,Osborne,Nadia,1711,Redbike Rollers,C6,1998,01:30:23,FIN,225,125
HC06,Whittemore,Edwin,1712,Trail Blazers,C5,2000,01:26:45,FIN,161,90
HC10,Cranston,Theodore,1713,Team Velopower,C5,1993,01:46:54,FIN,379,245
HC07,Gamal,Odette,1714,Flying Cyclops,C6,1992,01:25:38,FIN,131,73
HC00,Skorobohach,Lennox,1722,Independent,C7,1970,01:28:53,FIN,194,58
HC01,Lynes,Kendra,1724,Cyclemeisters,C6,1999,01:20:41,FIN,13,7
HC08,Wichuk,Pierce,1725,Powerhouse Pedallers,C9,1951,02:19:24,FIN,392,10
HC04,Martin,Tabitha,1728,Independent,C6,1997,01:30:41,FIN,228,128
HC02,Cislo,Emily,1731,Mud and Gears,C8,1960,01:23:58,FIN,87,26
HC10,Bennett,Robert,1734,Mountain Kings,C9,1953,01:21:21,FIN,22,1
HC10,Pilkington,Wade,1737,Hardcore Cycling ,C5,1999,01:37:23,FIN,331,207
HC05,McWilliam,Frederick,1739,Redbike Rollers,C5,1996,01:36:14,FIN,315,196
HC00,Collins,Nathaniel,1740,Mountain Kings,C5,2000,01:41:20,FIN,358,229
HC07,Bergman,John,1741,Hardcore Cycling ,C5,1986,01:21:58,FIN,39,21
HC04,Mackenzie,Steve ,1744,Mud and Gears,C5,1997,01:23:41,FIN,80,48
HC01,Chapman,Nicholas,1745,Independent,C5,1976,01:37:31,FIN,333,209
HC03,Mundy,Jesse,1747,Hardcore Cycling ,C5,1981,01:21:33,FIN,29,15
HC05,Letterman,Hogan,1748,Dirt Busters,C7,1972,01:35:43,FIN,308,67
HC10,Pootz,Mitchell,1749,Hardcore Cycling ,C5,1995,01:39:24,FIN,345,219
HC08,Cheney,Kelvin,1751,Independent,C7,1959,01:24:02,FIN,88,27
HC04,Kay,Leander,1753,Mandras Flyers,C5,1996,01:40:49,FIN,357,228
HC01,Keller,Gary,1754,Hardcore Cycling ,C5,1978,01:22:03,FIN,42,22
HC05,Heacock,Daene,1757,Independent,C6,1976,01:31:09,FIN,238,136
HC06,Wilkinson,Elton,1758,Independent,C7,1961,01:28:04,FIN,181,57
HC08,Mills,Carmelo,1760,Powerhouse Pedallers,C5,1992,01:23:44,FIN,82,50
HC05,Campbell,Charlotte,1761,Flying Cyclops,C6,1996,01:26:49,FIN,163,91
HC03,Baldwin,Katya,1763,Tawara Bike Buddies,C8,1971,01:19:31,FIN,3,2
HC08,Schroderus,Nina,1764,Cyclemeisters,C6,2000,01:21:54,FIN,37,20
HC03,Gardner,Pepper,1766,Team Superpowered Rollers,C8,1970,01:20:40,FIN,12,6
HC02,Rossi,Nasir,1767,Independent,C5,1999,01:38:36,FIN,336,212
HC01,Sebulsky,Jenny,1770,Synergy Racing,C2,2007,01:37:07,FIN,328,14
HC05,Neilson,Alan,1780,Mandras Flyers,C5,1996,01:22:06,FIN,44,23
HC10,Green,Sandra,1781,Independent,C6,1977,01:28:59,FIN,196,107
HC10,Hogarth,Jeff,1782,Mandras Flyers,C5,1996,01:59:53,FIN,388,254
HC04,Olsen,Ronnie ,1783,Mountain Kings,C5,1996,01:33:39,FIN,277,165
HC00,Pattison,Gloria,1784,Trail Blazers,C6,1988,01:22:37,FIN,52,28
HC02,Alderson,Graeme,1786,Redbike Rollers,C5,1992,01:35:26,FIN,302,187
HC01,Wensel,Miguel,1788,Tawara Bike Buddies,C5,1990,01:23:42,FIN,81,49
HC06,Martinez,Ahmet,1790,Hardcore Cycling ,C5,1993,01:28:47,FIN,192,105
HC00,Gunawardena,Kiera,1795,Independent,C6,1975,01:24:11,FIN,93,56
HC00,Turner,Stevie-Jane,1799,Independent,C6,1994,01:23:11,FIN,67,38
HC03,Mulholland,Simon,1801,Trail Blazers,C5,1995,01:30:07,FIN,223,123
HC10,Hearle,Cyril,1802,Team Pedal Power,C5,2000,01:25:06,FIN,119,66
HC05,Reid,Russell,1803,Independent,C9,1944,01:29:10,FIN,200,9
HC00,Kinniburgh,Gunther,1804,Dirt Busters,C5,1995,01:29:59,FIN,221,121
HC02,Hughes,Aidan,1805,Flying Cyclops,C5,2000,01:37:10,FIN,329,205
HC05,Gooding,Grant,1806,Trail Blazers,C7,1970,01:24:12,FIN,94,28
HC02,Godber,Andrew,1808,Flying Cyclops,C5,1976,01:40:37,FIN,353,225
HC02,Tomassini,Yannick,1811,Team Velopower,C5,2000,01:36:12,FIN,313,195
HC08,Spooner,Sidney,1812,Velocity Cycling,C6,1994,01:25:49,FIN,137,79
HC10,Pearson,Pierre,1813,Independent,C5,1975,01:32:14,FIN,252,148
HC03,Naylor,Ethan,1814,Velocity Cycling,C7,1973,01:26:52,FIN,165,53
HC03,Hundert,Oleksa,1816,Team Velopower,C5,1986,01:36:42,FIN,320,200
HC00,Lunn,Oleg,1818,Dirt Busters,C5,1995,01:25:55,FIN,140,80
HC03,Jones,Kristofer,1819,Trail Blazers,C5,1979,01:27:09,FIN,172,95
HC07,Stachura,Quentin,1820,Independent,C5,1979,01:29:57,FIN,218,118
HC06,Egan,Richard,1821,Dirt Busters,C5,1999,01:21:45,FIN,35,18
HC06,Honeyford,Sebastian,1822,Tawara Bike Buddies,C7,1960,01:24:55,FIN,116,36
HC05,Taylor-Smith,Dean,1824,Redbike Rollers,C5,1988,01:22:17,FIN,46,25
HC04,Bratt,Wolfgang,1825,Redbike Rollers,C7,1964,01:24:47,FIN,114,34
HC10,Gillett,Willow,1827,Mandras Flyers,C6,2000,01:33:03,FIN,267,157
HC08,Knowlton,Darryl,1828,Hardcore Cycling ,C5,1994,01:40:43,FIN,356,227
HC03,Chishlom,Alexander,1830,Mud and Gears,C5,1991,01:31:08,FIN,237,135
HC03,Rushton,Sarah Rae,1831,Synergy Racing,C8,1961,01:22:04,FIN,43,17
HC09,Banister,Caitlin,1833,Tawara Bike Buddies,C6,1995,01:24:27,FIN,103,59
HC01,Schooler,Kamden,1834,Independent,C7,1958,01:37:00,FIN,325,69
HC05,Kennedy,Alfred,1835,Mandras Flyers,C5,1989,01:36:26,FIN,316,197
HC00,Dovizioso,Noah,1836,Independent,C5,1974,01:25:02,FIN,118,65
HC09,Constance,Darwin,1838,Independent,C7,1969,01:26:57,FIN,168,55
HC05,Castro,Kim,1840,Kernow Pedallers,C6,1996,01:34:15,FIN,288,175
HC09,Peterson,Shaun,1843,Independent,C5,1974,01:35:30,FIN,304,189
